Date,Close
1999-02-01,8911
1999-03-01,10696
1999-04-01,11351
1999-05-01,11090
1999-06-01,11627
1999-07-01,10442
1999-08-01,10565
1999-09-01,11106
1999-10-01,11700
1999-11-01,13779
1999-12-01,17092
2000-01-01,16388
2000-02-01,17660
2000-03-01,17820
2000-04-01,15538
2000-05-01,14957
2000-06-01,16728
2000-07-01,16455
2000-08-01,17347
2000-09-01,15928
2000-10-01,14867
2000-11-01,13287
2000-12-01,15259
2001-01-01,17673
2001-02-01,15891
2001-03-01,14438
2001-04-01,14918
2001-05-01,14650
2001-06-01,14560
2001-07-01,13754
2001-08-01,12841
2001-09-01,10636
2001-10-01,11365
2001-11-01,12932
2001-12-01,13578
2002-01-01,12721
2002-02-01,14033
2002-03-01,13255
2002-04-01,13085
2002-05-01,12861
2002-06-01,11139
2002-07-01,9763
2002-08-01,10382
2002-09-01,8623
2002-10-01,10168
2002-11-01,10509
2002-12-01,11268
2003-01-01,10941
2003-02-01,10281
2003-03-01,11274
2003-04-01,12557
2003-05-01,13422
2003-06-01,12973
2003-07-01,13572
2003-08-01,15174
2003-09-01,16011
2003-10-01,17982
2003-11-01,20184
2003-12-01,22236
2004-01-01,21851
2004-02-01,21755
2004-03-01,22142
2004-04-01,19607
2004-05-01,19545
2004-06-01,21149
2004-07-01,22337
2004-08-01,22803
2004-09-01,23245
2004-10-01,23052
2004-11-01,25128
2004-12-01,26196
2005-01-01,24351
2005-02-01,28139
2005-03-01,26611
2005-04-01,24844
2005-05-01,25207
2005-06-01,25051
2005-07-01,26042
2005-08-01,28045
2005-09-01,31584
2005-10-01,30194
2005-11-01,31917
2005-12-01,33456
2006-01-01,38383
2006-02-01,38610
2006-03-01,37952
2006-04-01,40363
2006-05-01,36530
2006-06-01,36631
2006-07-01,37077
2006-08-01,36232
2006-09-01,36449
2006-10-01,39263
2006-11-01,41932
2006-12-01,44474
2007-01-01,44642
2007-02-01,43892
2007-03-01,45805
2007-04-01,48956
2007-05-01,52268
2007-06-01,54392
2007-07-01,54183
2007-08-01,54637
2007-09-01,60465
2007-10-01,65318
2007-11-01,63006
2007-12-01,63886
2008-01-01,59490
2008-02-01,63489
2008-03-01,60968
2008-04-01,67868
2008-05-01,72593
2008-06-01,65018
2008-07-01,59505
2008-08-01,55680
2008-09-01,49541
2008-10-01,37257
2008-11-01,36596
2008-12-01,37550
2009-01-01,39301
2009-02-01,38183
2009-03-01,40926
2009-04-01,47290
2009-05-01,53198
2009-06-01,51465
2009-07-01,54766
2009-08-01,56489
2009-09-01,61518
2009-10-01,61546
2009-11-01,67044
2009-12-01,68588
2010-01-01,65402
2010-02-01,66503
2010-03-01,70372
2010-04-01,67530
2010-05-01,63047
2010-06-01,60936
2010-07-01,67515
2010-08-01,65145
2010-09-01,69430
2010-10-01,70673
2010-11-01,67705
2010-12-01,69305
2011-01-01,66575
2011-02-01,67383
2011-03-01,68587
2011-04-01,66133
2011-05-01,64620
2011-06-01,62404
2011-07-01,58823
2011-08-01,56495
2011-09-01,52324
2011-10-01,58338
2011-11-01,56875
2011-12-01,56754
2012-01-01,63072
2012-02-01,65812
2012-03-01,64511
2012-04-01,61820
2012-05-01,54490
2012-06-01,54355
2012-07-01,56097
2012-08-01,57061
2012-09-01,59176
2012-10-01,57068
2012-11-01,57475
2012-12-01,60952
2013-01-01,59761
2013-02-01,57424
2013-03-01,56352
2013-04-01,55910
2013-05-01,53506
2013-06-01,47457
2013-07-01,48234
2013-08-01,50008
2013-09-01,52338
2013-10-01,54256
2013-11-01,52482
2013-12-01,51507
2014-01-01,47639
2014-02-01,47094
2014-03-01,50415
2014-04-01,51627
2014-05-01,51239
2014-06-01,53168
2014-07-01,55829
2014-08-01,61288
2014-09-01,54116
2014-10-01,54629
2014-11-01,54664
2014-12-01,50007
2015-01-01,46908
2015-02-01,51583
2015-03-01,51150
2015-04-01,56229
2015-05-01,52760
2015-06-01,53081
2015-07-01,50865
2015-08-01,46626
2015-09-01,45059
2015-10-01,45869
2015-11-01,45120
2015-12-01,43350
2016-01-01,40406
2016-02-01,42794
2016-03-01,50055
2016-04-01,53911
2016-05-01,48472
2016-06-01,51527
2016-07-01,57308
2016-08-01,57901
2016-09-01,58367
2016-10-01,64925
2016-11-01,61906
2016-12-01,60227
2017-01-01,64671
2017-02-01,66662
2017-03-01,64984
2017-04-01,65403
2017-05-01,62711
2017-06-01,62900
2017-07-01,65920
2017-08-01,70478